family,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
Segniliparaceae,0.0,2.0,2.0,0.0
Selaginellaceae,9.05,38.0,35.0,7.27
Selenomonadaceae,1.71,5.0,6.0,3.24
Shewanellaceae,196.97,294.0,279.0,171.17999999999992
Siphoviridae,10.73,30.0,31.0,10.65
Sminthuridae,0.0,3.0,3.0,0.0
Solibacteraceae,11.47,41.0,36.0,15.57
Sordariaceae,2.53,23.0,27.0,2.47
Sphingobacteriaceae,90.92,121.0,121.0,95.73999999999997
Spirochaetaceae,17.51,11.0,11.0,20.5
Sporolactobacillaceae,2.46,8.0,8.0,3.25
Sporomusaceae,0.0,3.0,5.0,2.53
Staphylococcaceae,17.97,29.0,31.0,16.16
Streptococcaceae,31.070000000000004,55.0,46.0,14.29
Streptomycetaceae,57.68000000000001,213.0,211.0,57.55
Streptosporangiaceae,5.87,14.0,16.0,10.74
Strongylocentrotidae,8.83,36.0,25.0,4.81
Suidae,0.0,19.0,9.0,0.0
Sulfolobaceae,2.52,14.0,13.0,3.24
Symbiobacteriaceae,0.0,10.0,12.0,1.67
Synechococcaceae,3689.6200000000013,144.0,148.0,3842.8899999999985
Synergistaceae,1.7,18.0,10.0,6.37
Syntrophaceae,3.9800000000000004,10.0,16.0,4.92
Tenebrionidae,0.0,9.0,10.0,0.0
Tetrahymenidae,8.29,19.0,26.0,6.71
Thalassiosiraceae,59.5,417.0,443.0,67.38
Theileriidae,0.0,4.0,5.0,0.0
Thermoanaerobacteraceae,24.29,32.0,39.0,30.92
Thermofilaceae,0.0,3.0,3.0,0.0
Thermomonosporaceae,2.5,8.0,7.0,3.4
Thermoproteaceae,0.0,2.0,2.0,0.0
Thiotrichaceae,1.61,14.0,13.0,3.32
Trichocomaceae,0.0,7.0,10.0,0.0
Tricholomataceae,0.0,3.0,7.0,0.0
Trichomonadidae,0.0,10.0,14.0,0.0
Trueperaceae,2.44,23.0,21.0,4.03
Tsukamurellaceae,1.6,4.0,4.0,0.0
Tuberaceae,0.0,4.0,2.0,0.0
Unikaryonidae,0.0,11.0,10.0,1.67
Ursidae,0.0,2.0,1.0,0.0
Ustilaginaceae,10.83,85.0,65.0,11.5
Vahlkampfiidae,3.36,14.0,19.0,6.69
Vaucheriaceae,1.58,12.0,12.0,1.71
Veillonellaceae,1.56,9.0,6.0,1.63
Verrucomicrobiaceae,20.59,66.0,77.0,27.009999999999998
Vibrionaceae,161.26000000000002,325.0,325.0,180.10999999999999
Victivallaceae,0.0,12.0,12.0,5.75
Vitaceae,5.82,28.0,31.0,7.45
Volvocaceae,4.97,40.0,35.0,4.76
Waddliaceae,2.42,6.0,7.0,3.4299999999999997
Xanthobacteraceae,83.99,79.0,69.0,80.42999999999998
Xanthomonadaceae,95.67999999999999,131.0,134.0,80.72999999999998
Yersiniaceae,27.84,68.0,59.0,15.86
